1	03 · КАТАЛОГИ — списки значений по умолчанию для форм калькулятора
2	Только данные, никаких строк «ИТОГО». Итог берётся формулой SUMIF по коду формы. Период: Год=1, Месяц=12, Квартал=4 — как в ваших выпадающих списках.
4	Форма	Позиция	Стоимость, ₽	Срок, лет	Период	Платежей/год	₽/год	Тип расхода
5	Form001	Canon EOS R6 Mark II Body	166999	3		=IF(E5="Год",1,IF(E5="Квартал",4,IF(E5="Месяц",12,0)))  ⟹ None	=IF(N(D5)>0,C5/D5,C5*F5)  ⟹ None	амортизация
6	Form001	Canon RF 24–105mm f/4.0 L IS USM	130999	5		=IF(E6="Год",1,IF(E6="Квартал",4,IF(E6="Месяц",12,0)))  ⟹ None	=IF(N(D6)>0,C6/D6,C6*F6)  ⟹ None	амортизация
7	Form001	Godox V1Pro C	36990	5		=IF(E7="Год",1,IF(E7="Квартал",4,IF(E7="Месяц",12,0)))  ⟹ None	=IF(N(D7)>0,C7/D7,C7*F7)  ⟹ None	амортизация
8	Form001	Godox XPro II C	9355	5		=IF(E8="Год",1,IF(E8="Квартал",4,IF(E8="Месяц",12,0)))  ⟹ None	=IF(N(D8)>0,C8/D8,C8*F8)  ⟹ None	амортизация
9	Form001	Аккумулятор LP-E6NH	12978	3		=IF(E9="Год",1,IF(E9="Квартал",4,IF(E9="Месяц",12,0)))  ⟹ None	=IF(N(D9)>0,C9/D9,C9*F9)  ⟹ None	амортизация
10	Form001	SanDisk Extreme PRO 256 ГБ #1	6990	2		=IF(E10="Год",1,IF(E10="Квартал",4,IF(E10="Месяц",12,0)))  ⟹ None	=IF(N(D10)>0,C10/D10,C10*F10)  ⟹ None	амортизация
11	Form001	SanDisk Extreme PRO 256 ГБ #2	6990	2		=IF(E11="Год",1,IF(E11="Квартал",4,IF(E11="Месяц",12,0)))  ⟹ None	=IF(N(D11)>0,C11/D11,C11*F11)  ⟹ None	амортизация
12	Form001	Рюкзак Lowepro ProTactic	27962	7		=IF(E12="Год",1,IF(E12="Квартал",4,IF(E12="Месяц",12,0)))  ⟹ None	=IF(N(D12)>0,C12/D12,C12*F12)  ⟹ None	амортизация
13	Form001	Godox RFT-05 отражатель	3000	5		=IF(E13="Год",1,IF(E13="Квартал",4,IF(E13="Месяц",12,0)))  ⟹ None	=IF(N(D13)>0,C13/D13,C13*F13)  ⟹ None	амортизация
14	Form001	X-Rite ColorChecker	5000	7		=IF(E14="Год",1,IF(E14="Квартал",4,IF(E14="Месяц",12,0)))  ⟹ None	=IF(N(D14)>0,C14/D14,C14*F14)  ⟹ None	амортизация
15	Form002	Системный блок	180000	5		=IF(E15="Год",1,IF(E15="Квартал",4,IF(E15="Месяц",12,0)))  ⟹ None	=IF(N(D15)>0,C15/D15,C15*F15)  ⟹ None	амортизация
16	Form002	Монитор ASUS ProArt	55000	5		=IF(E16="Год",1,IF(E16="Квартал",4,IF(E16="Месяц",12,0)))  ⟹ None	=IF(N(D16)>0,C16/D16,C16*F16)  ⟹ None	амортизация
