1	09i · СПРАВОЧНИК: ТЕРМИНЫ И ОПРЕДЕЛЕНИЯ
2	Плоский список по алфавиту, без разделов. Только те термины, которые человек встречает в анкете и в отчёте. Внутренние термины методики сюда не входят.
4	Термин	Определение
5	Амортизация	способ распределения стоимости разовой покупки на весь её срок службы — ежегодные или ежемесячные расходы на износ оборудования.
6	Выручка	общий объём денежных средств, которые необходимо получить от клиентов за год, чтобы после всех обязательных вычетов у вас остался желаемый чистый доход.
7	Готовые кадры	среднее количество готовых снимков, получаемых клиентом с часа съёмки. Из этого рассчитывается цена одного кадра.
8	Доход на руки	чистая сумма, которая остаётся у вас после вычета всех расходов и налогов. Это ключевая точка отсчёта для всех дальнейших расчётов.
9	Запас прочности	финансовый резерв, формирующий фонд развития и запас на предоставление скидок. Не входит в обязательный базовый расчёт и может включаться по вашему усмотрению.
10	Налоги и взносы	платежи в соответствии с вашим налоговым режимом. Для индивидуальных предпринимателей включают фиксированные страховые взносы, подлежащие уплате независимо от наличия дохода.
11	Обработка	время, необходимое для обработки полученного контента за один час съёмки: скачивание и бэкап, отбор и отбраковка кадров, выгрузка и загрузка в ПО, кадрирование, устранение значимых артефактов, цветовая и тоновая коррекция, сведение к единому стилю, настройка чёткости кадра, сохранение в нужном формате, экспорт, загрузка в облако, правки при необходимости, а также формирование и хранение архива.
12	Обустройство места	закупка необходимой для работы мебели, косметический ремонт помещения, предусмотренного под рабочую зону и хранение оборудования.
13	Обучение	прохождение профессиональных курсов и работа с наставниками. Помимо прямой финансовой стоимости, учитывает периоды временного снижения или полного отсутствия дохода во время учёбы.
14	Офисное оборудование	оборудование, необходимое для профессиональной деятельности фотографа и выполнения всего комплекса работ: от обработки заказов и решения текущих задач до поиска новых клиентов, ведения учёта и сопутствующей административной деятельности.
15	Подписки	регулярные платежи за цифровые сервисы и инструменты, без которых невозможна ежедневная работа: Adobe Creative Cloud, облачные хранилища, хостинг, доменное имя и подобное.
16	Программное обеспечение	специализированный профессиональный софт, необходимый фотографу для обработки изображений и подготовки материалов. Без этих программ выполнение качественной финальной обработки и передача готового заказа клиенту невозможны.
17	Продвижение и реклама	комплекс мер, направленных на продвижение, популяризацию личного бренда и поиск новых клиентов.
18	Продолжительность съёмки	привычный или средний формат заказа. Рассчитывается по формуле: общее количество съёмочных часов в месяц разделить на количество съёмок.
19	Работа с клиентом	презентация личного бренда, демонстрация портфолио, согласование прайса, даты съёмки и референсов, заключение и коррекция договора, формирование и выставление счетов и актов, контроль оплаты, консультации в ходе работы и пр. Рассчитывается на один заказ.
20	Рабочие паузы	время в течение дня на подготовку и уборку рабочего места, обслуживание и зарядку оборудования, разминку при работе за компьютером и личные надобности. В расчёт заложен один час ежедневно. Это опирается на нормативы Госкомтруда, где всем работающим независимо от вида труда полагается 10–15 минут в смену на личные надобности, и на санитарные рекомендации для работы за монитором: 10–15 минут перерыва каждый час. Обеденное время сюда не входит и в расчёте не учитывается.
21	Сайт	персональный информационный ресурс в сети интернет, предназначенный для привлечения новых клиентов и поиска заказов. Может быть создан привлечённым специалистом — тогда учитываются прямые финансовые затраты — либо разработан фотографом самостоятельно. При самостоятельной разработке в качестве амортизируемого вложения учитывается время, затраченное на создание и настройку ресурса, пересчитанное по базовой ставке часа.
22	Содержание рабочего места	регулярные текущие платежи, обеспечивающие функционирование рабочего пространства.
23	Срок службы	количество лет, в течение которых вещь реально работает до замены. Учитывается не гарантия производителя, а ваш личный практический опыт.
24	Ставка часа съёмки	стоимость одного часа работы непосредственно на съёмочной площадке для клиента. Покрывает ваш желаемый доход, все сопутствующие расходы, налоги и комиссии банков.
25	Стоимость часа вашей работы	ваш итоговый доход, разделённый на абсолютно всё потраченное рабочее время. Показывает реальную стоимость любого вашего часа, включая обработку, общение с клиентами и прочие административные задачи.
26	Съёмка	время, проведённое непосредственно на площадке. Единственное, за что клиент платит напрямую.
27	Съёмочное оборудование	неизменный рабочий арсенал, который фотограф берёт с собой на каждую съёмку. Без этого минимума проведение съёмочного процесса физически невозможно либо критически усложняется. Узкоспециализированная техника для разовых или нестандартных проектов сюда не относится — она рассчитывается отдельно под конкретные задачи.
28	Учёт и отчётность	формирование и сдача деклараций, уплата взносов по срокам, сверки, ведение КУДИР, ответы налоговым органам и пр. Учитывается как часы в квартал.
29	Форс-мажоры	непредвиденные обстоятельства: внезапный перенос или отмена съёмок, срывы договорённостей по вине клиента, повторные выезды на площадку и прочие ситуации, когда рабочее время уже потрачено, но оплата труда не поступает.
30	Эквайринг	банковская комиссия за приём платежей по картам или через QR-код. Рассчитывается со всей суммы поступлений, а не с чистой прибыли.
32	Нормативная основа «Рабочих пауз»: Межотраслевые методические рекомендации «Определение нормативов времени на отдых и личные надобности» (Госкомтруд СССР) — 10–15 минут в смену на личные надобности всем работающим; 3–5% оперативного времени на отдых при монотонной работе. Санитарные рекомендации для работы за монитором: 10–15 минут каждые 45–60 минут (СанПиН 2.2.2/2.4.1340-03 и ТОИ Р-45-084-01 утратили силу с 01.01.2021, цифры используются как ориентир). Обеденный перерыв не входит.
34	ЕДИНЫЕ НАЗВАНИЯ В ТАБЛИЦЕ ПОЛНОЙ ВЫГРУЗКИ — 06.08.2026
35	Было	Стало
36	Съёмочная техника	Съёмочное оборудование
37	Компьютер и периферия	Офисное оборудование
38	Программы разово + Подписки и сервисы	Программное обеспечение — одной строкой
39	Обустройство места	Обустройство рабочего места
40	Реклама и продвижение	Продвижение и реклама
41	Аренда и коммунальные	Содержание рабочего места
