файл	id	объявлен_раз	обращений_JS	в_CSS	статус
calc	acc_c_w	1	2	0	ok
calc	acc_cost_month	1	0	0	мёртвый
calc	acc_h_w	1	2	0	ok
calc	acc_mode_r	1	0	0	мёртвый
calc	acc_per_quarter	1	0	0	мёртвый
calc	acq_delete	1	1	0	ok
calc	acq_name	1	0	0	мёртвый
calc	acq_rate	1	1	0	ok
calc	acq_share	1	1	0	ok
calc	autoBox	1	0	0	мёртвый
calc	bank_acq_group	1	1	0	ok
calc	bank_add	1	2	0	ok
calc	bank_commission_scope	1	1	0	ok
calc	bank_extra_list	1	3	0	ok
calc	bank_share_row	1	1	0	ok
calc	c_Form001	1	0	0	мёртвый
calc	c_Form002	1	0	0	мёртвый
calc	c_Form006	1	0	0	мёртвый
calc	c_Form008b	1	0	0	мёртвый
calc	c_Form009b	1	0	0	мёртвый
calc	c_Form010	1	0	0	мёртвый
calc	c_Form011	1	0	0	мёртвый
calc	c_Form014	1	0	0	мёртвый
calc	c_Form015b	1	0	0	мёртвый
calc	c_Form016	1	0	0	мёртвый
calc	c_Form017	1	0	0	мёртвый
calc	c_Form018	1	0	0	мёртвый
calc	c_FormClientTime	1	0	0	мёртвый
calc	c_FormPromoTime	1	0	0	мёртвый
calc	cab_area	1	0	0	мёртвый
calc	client_time	1	0	0	мёртвый
calc	current_rate	1	0	0	мёртвый
calc	disc_lvls	1	0	0	мёртвый
calc	disc_note	1	1	0	ok
calc	disc_on	1	1	0	ok
calc	disc_pct	1	1	0	ok
calc	edu_life	1	0	0	мёртвый
calc	fm_on	1	1	0	ok
calc	fm_out	1	0	0	мёртвый
calc	fm_pct	1	0	0	мёртвый
calc	fm_st	1	0	0	мёртвый
calc	frames_out	1	0	0	мёртвый
calc	frm	1	0	3	ok
calc	fund_on	1	0	0	мёртвый
calc	fund_out	1	0	0	мёртвый
calc	fund_pct	1	0	0	мёртвый
calc	fund_st	1	0	0	мёртвый
calc	go	1	1	0	ok
calc	home_area	1	0	0	мёртвый
calc	home_rent	1	2	0	ok
calc	home_util	1	0	0	мёртвый
calc	income_month	1	0	0	мёртвый
calc	ld	1	1	3	ok
calc	ldgrad	1	0	1	ok
calc	limBar	1	1	0	ok
calc	npdWho	1	1	0	ok
calc	npd_who	1	6	0	ok
calc	office_rent	1	0	0	мёртвый
calc	office_util	1	0	0	мёртвый
calc	own_home	1	2	0	ok
calc	pct	1	1	0	ok
calc	phc-root	1	1	875	ok
calc	post_ratio	1	0	0	мёртвый
calc	promo_per_day	1	0	0	мёртвый
calc	regLim	1	1	0	ok
calc	regime	1	6	0	ok
calc	reset	1	1	0	ok
calc	resetTx	1	1	0	ok
calc	ring	1	1	0	ok
calc	shareBtn	1	1	0	ok
calc	shareBtnBottom	1	0	0	мёртвый
calc	shoot_manual	1	0	0	мёртвый
calc	site_c_w	1	2	0	ok
calc	site_cost	1	0	0	мёртвый
calc	site_h_w	1	2	0	ok
calc	site_hours	1	0	0	мёртвый
calc	site_life	1	0	0	мёртвый
calc	site_mode_r	1	0	0	мёртвый
calc	stg	1	1	0	ok
calc	stgs	1	1	0	ok
calc	t_Form001	1	0	0	мёртвый
calc	t_Form002	1	0	0	мёртвый
calc	t_Form003	1	0	0	мёртвый
calc	t_Form004	1	0	0	мёртвый
calc	t_Form006	1	1	0	ok
calc	t_Form007	1	0	0	мёртвый
calc	t_Form010	1	0	0	мёртвый
calc	t_Form013	1	0	0	мёртвый
calc	taxAutoNote	1	0	0	мёртвый
calc	taxOffNote	1	1	2	ok
calc	tax_auto	1	5	0	ok
calc	tax_off	1	4	0	ok
calc	trial	1	0	0	мёртвый
calc	trustBar	1	1	0	ok
calc	trustBarClose	1	1	0	ok
calc	trustShareBtn	1	0	0	мёртвый
calc	ws_home	1	2	0	ok
calc	ws_mode_r	1	0	0	мёртвый
calc	ws_off	1	2	0	ok
report	bestBox	1	1	0	ok
report	card01	1	0	3	ok
report	card02	1	0	0	мёртвый
report	card04	1	0	0	мёртвый
report	card05	1	0	0	мёртвый
report	card06	1	0	5	ok
report	card07	1	0	0	мёртвый
report	card09	1	0	0	мёртвый
report	card10	1	0	2	ok
report	cardTab	1	0	0	мёртвый
report	ctaLink	1	0	0	мёртвый
report	dlBtn	1	0	0	мёртвый
report	dlBtn2	1	0	0	мёртвый
report	dlpdf	1	1	0	ok
report	dmap	1	1	0	ok
report	dmapex	1	1	0	ok
report	dn1	1	2	0	ok
report	dnExp	1	1	0	ok
report	dnSum	1	1	0	ok
report	dns	1	1	0	ok
report	dst	1	1	0	ok
report	editLink	1	0	0	мёртвый
report	editLink2	1	0	0	мёртвый
report	factGrid	1	1	0	ok
report	fbar	1	1	0	ok
report	fnd	1	1	0	ok
report	fullTab	1	1	0	ok
report	h2Cnt	1	0	0	мёртвый
report	h2Ot	1	0	0	мёртвый
report	h2OtS	1	0	0	мёртвый
report	h2Sh	1	0	0	мёртвый
report	h2Sub	1	1	0	ok
report	h2Wk	1	0	0	мёртвый
report	h2WkS	1	0	0	мёртвый
report	hExp	1	1	0	ok
report	hFact	1	1	0	ok
report	hInc	1	1	0	ok
report	hMon	1	1	0	ok
report	hRate	1	1	0	ok
report	hRateEx	1	1	0	ok
report	hero2	1	0	0	мёртвый
report	lg1	1	1	0	ok
report	lg2	1	2	0	ok
report	loy	1	1	0	ok
report	npdBox	1	1	0	ok
report	pgb1	1	0	0	мёртвый
report	pgb2	1	0	0	мёртвый
report	pgb3	1	0	0	мёртвый
report	phr-root	1	2	1017	ok
report	rMeta	1	1	0	ok
report	refList	1	1	0	ok
report	scn	1	1	0	ok
report	shareBtn	1	0	0	мёртвый
report	shareBtn2	1	0	0	мёртвый
report	spc	1	1	0	ok
report	topbar	1	0	0	мёртвый
report	trial	1	0	0	мёртвый
report	txNote	1	1	0	ok
report	txrows	1	1	0	ok
report	wk	1	2	0	ok
report	wklg	1	1	0	ok
report	wknote	1	1	0	ok
report	zapbox	1	1	0	ok
report	dg	0	0	0	динамический
report	fg1	0	0	0	динамический
report	fg2	0	0	0	динамический
report	fg3	0	0	0	динамический
report	ref	0	0	0	динамический
index	phw-root	1	0	75	ok
index	start	1	1	0	ok
index	start2	1	1	0	ok
index	trial	1	0	0	мёртвый
