токен	книга_hex	строка_книги	calc_знач	calc_использ	report_знач	report_использ	index_знач	index_использ	статус
--bg			var(--c-bg)	9	var(--c-bg)	8	var(--c-bg)	0	нет_в_книге
--c-a-100	#FEF3D6	60	#FEF3D6	0	#FEF3D6	3	#FEF3D6	0	ok
--c-a-200	#FBE3AE	61	#FBE3AE	3	#FBE3AE	1	#FBE3AE	0	ok
--c-a-300	#F2C48A	62	#F2C48A	2	#F2C48A	3	#F2C48A	0	ok
--c-a-350	#E8A05C	63	#E8A05C	0	#E8A05C	0	#E8A05C	0	ok
--c-a-400	#F5B301	64	#F5B301	5	#F5B301	4	#F5B301	2	ok
--c-a-50	#FFFBEF	59	#FFFBEF	9	#FFFBEF	11	#FFFBEF	0	ok
--c-a-500	#D9762E	65	#D9762E	5	#D9762E	5	#D9762E	0	ok
--c-a-600	#C4551F	66	#C4551F	1	#C4551F	2	#C4551F	0	ok
--c-a-700	#B45309	67	#B45309	2	#B45309	7	#B45309	0	ok
--c-a-800	#92400E	68	#92400E	3	#92400E	7	#92400E	0	ok
--c-a-900	#7A5309	69	#7A5309	1	#7A5309	3	#7A5309	0	ok
--c-a-br	#8A5C4A	70	#8A5C4A	0	#8A5C4A	0	#8A5C4A	0	ok
--c-a-br2	#5F3B2E	71	#5F3B2E	0	#5F3B2E	0	#5F3B2E	0	ok
--c-b-100	#E7F0FA	75	#E7F0FA	1	#E7F0FA	4	#E7F0FA	0	ok
--c-b-200	#CFE0F3	76	#CFE0F3	0	#CFE0F3	2	#CFE0F3	0	ok
--c-b-250	#B7C9E8	77	#B7C9E8	1	#B7C9E8	0	#B7C9E8	0	ok
--c-b-300	#8FC7E8	78	#8FC7E8	1	#8FC7E8	3	#8FC7E8	0	ok
--c-b-400	#5CA8E0	79	#5CA8E0	5	#5CA8E0	8	#5CA8E0	0	ok
--c-b-50	#F6FAFE	74	#F6FAFE	5	#F6FAFE	7	#F6FAFE	0	ok
--c-b-500	#3B82F6	80	#3B82F6	4	#3B82F6	3	#3B82F6	2	ok
--c-b-600	#2F80C4	81	#2F80C4	2	#2F80C4	2	#2F80C4	0	ok
--c-b-700	#2A6FAB	82	#2A6FAB	4	#2A6FAB	4	#2A6FAB	0	ok
--c-b-800	#1D4ED8	83	#1D4ED8	0	#1D4ED8	2	#1D4ED8	0	ok
--c-b-900	#3B6398	84	#3B6398	1	#3B6398	1	#3B6398	0	ok
--c-b-mut	#7189AE	85	#7189AE	0	#7189AE	2	#7189AE	0	ok
--c-bg	#F5F6F8	26	#F5F6F8	15	#F5F6F8	21	#F5F6F8	1	ok
--c-fns-1				0	#1B2E6B	8		0	нет_в_книге
--c-fns-2				0	#2C3E82	8		0	нет_в_книге
--c-fns-3				0	#C6D0EC	2		0	нет_в_книге
--c-fns-4				0	#EEF1FA	3		0	нет_в_книге
--c-fns-5				0	#F7F9FD	0		0	нет_в_книге
--c-g-100	#EAF6EE	32	#EAF6EE	4	#EAF6EE	8	#EAF6EE	1	ok
--c-g-200	#D8EEDF	33	#D8EEDF	3	#D8EEDF	7	#D8EEDF	0	ok
--c-g-300	#A9DDB8	34	#A9DDB8	6	#A9DDB8	8	#A9DDB8	0	ok
--c-g-350	#6FD183	35	#6FD183	6	#6FD183	2	#6FD183	3	ok
--c-g-400	#4FC26A	36	#4FC26A	1	#4FC26A	8	#4FC26A	0	ok
--c-g-50	#F5FBF7	31	#F5FBF7	9	#F5FBF7	14	#F5FBF7	1	ok
--c-g-500	#21A038	37	#21A038	17	#21A038	15	#21A038	4	ok
--c-g-600	#1B9331	38	#1B9331	6	#1B9331	6	#1B9331	1	ok
--c-g-700	#158026	39	#158026	14	#158026	23	#158026	1	ok
--c-g-800	#0B6B22	40	#0B6B22	6	#0B6B22	10	#0B6B22	2	ok
--c-g-900	#14532D	41	#14532D	3	#14532D	4	#14532D	1	ok
--c-g-mut	#5C9C6C	42	#5C9C6C	0	#5C9C6C	0	#5C9C6C	0	ok
--c-gr	#6B7280	13	#6B7280	16	#6B7280	36	#6B7280	1	ok
--c-gr2	#9CA3AF	16	#9CA3AF	19	#9CA3AF	28	#9CA3AF	0	ok
--c-gr3	#B6BCC4	17	#B6BCC4	9	#B6BCC4	15	#B6BCC4	0	ok
