ID_книги	поле_формы	книга	форма	статус	строка_книги
acc_cost_month	acc_cost_month	10000.0	10000.0	ok	98
acc_per_quarter	acc_per_quarter	3.0	3.0	ok	28
acq_rate	acq_rate	2.7	2.7	ok	123
acq_share	acq_share	100.0	100.0	ok	124
cab_area	cab_area	6.0	6.0	ok	69
client_time	client_time	1.0	1.0	ok	41
current_rate	current_rate	6000.0	6000.0	ok	61
edu_life	edu_life	7.0	7.0	ok	78
fm_pct	fm_pct	5.0	10.0	РАСХОЖДЕНИЕ	33
frames_out	frames_out	80.0	80.0	ok	141
home_area	home_area	50.0	50.0	ok	68
home_rent	home_rent	40000.0	40000.0	ok	66
home_util	home_util	7000.0	7000.0	ok	67
income_month	income_month	108999.0	110216.0	РАСХОЖДЕНИЕ	59
office_rent	office_rent	15000.0	15000.0	ok	71
office_util	office_util	7000.0	7000.0	ok	72
post_ratio	post_ratio	3.0	3.0	ok	39
promo_per_day	promo_per_day	2.0	2.0	ok	25
shoot_duration	shoot_manual	2.0	1.0	РАСХОЖДЕНИЕ	42
site_cost	site_cost	70000.0	70000.0	ok	83
site_hours	site_hours	0.0	80.0	РАСХОЖДЕНИЕ	84
site_life	site_life	7.0	7.0	ok	85
