ключ	статус	строка_книги	где	файлы_html	текст
add_01	ok	86	Форма · вопросы анкеты	web/calc.html	+ Добавить позицию
add_02	ok	96	Форма · вопросы анкеты	web/calc.html	+ Добавить позицию
add_03	ok	108	Форма · вопросы анкеты	web/calc.html	+ Добавить подписку
add_04	ok	118	Форма · вопросы анкеты	web/calc.html	+ Добавить программу
add_05	ok	166	Форма · вопросы анкеты	web/calc.html	+ Добавить позицию
add_06	ok	178	Форма · вопросы анкеты	web/calc.html	+ Добавить обучение
add_07	ok	214	Форма · вопросы анкеты	web/calc.html	+ Добавить канал
add_08	ok	226	Форма · вопросы анкеты	web/calc.html	+ Добавить платёж
an_01	только_книга	273	Форма · блок оплаты (paywall)		Детальный графикна месяц
an_02	только_книга	277	Форма · блок оплаты (paywall)		Скидкиза объём
an_03	только_книга	281	Форма · блок оплаты (paywall)		Минимальнаяцена часа
ax_01	только_книга	275	Форма · блок оплаты (paywall)		Сколько съёмок брать и как расставить их по дням, чтобы успевать обрабатывать и не выгорать
ax_02	только_книга	279	Форма · блок оплаты (paywall)		Сколько уступить постоянному клиенту за длинную съёмку — за счёт накладных, а не вашего дохода
ax_03	только_книга	283	Форма · блок оплаты (paywall)		Точка безубыточности: ниже неё вы работаете себе в убыток. Спокойный ответ на просьбу о скидке
bs_01	только_книга	345	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML: —
bt_01	только_книга	344	Форма · шапка		счётикс
bt_02	ok	517	Форма и отчёт · логотип	web/calc.html,web/index.html,web/report.html	твоя юнит-экономика
bt_03	только_HTML			web/index.html	
ct_01	только_HTML			web/calc.html	
ct_02	только_HTML			web/calc.html	
ct_03	только_HTML			web/calc.html	
ct_04	только_HTML			web/calc.html	
ct_05	только_HTML			web/calc.html	
def_01	только_HTML			web/calc.html	
exp_01	ok	474	Форма · вопросы анкеты · подсказка «что сюда входит»	web/calc.html	Вот что мы заложили как основные этапы постпродакшна
exp_02	ok	475	Форма · вопросы анкеты · подсказка «что сюда входит»	web/calc.html	Вот что мы заложили как основные этапы работы с клиентом
exp_03	ok	476	Форма · вопросы анкеты · подсказка «что сюда входит»	web/calc.html	Что включено в эти 2 часа
exp_04	только_HTML			web/calc.html	
h1_01	только_книга	6	Форма · шапка		Сколько на самом деле стоит ваш час
h2_01	ok	10	Форма · вопросы анкеты	web/calc.html	Ваш желаемый доход
h2_02	ok	18	Форма · вопросы анкеты	web/calc.html	Ваш налоговый режим
h2_03	ok	32	Форма · вопросы анкеты	web/calc.html	Как мы считаем:
h2_03t	только_HTML			web/calc.html	
h2_04	только_книга	46	Форма · вопросы анкеты		Посчитаем ваше время
h2_05	только_книга	58	Форма · вопросы анкеты		Как устроена ваша работа
h2_06	ok	78	Форма · вопросы анкеты	web/calc.html	Съёмочная техника
h2_07	ok	88	Форма · вопросы анкеты	web/calc.html	Офисная техника
h2_08	ok	98	Форма · вопросы анкеты	web/calc.html	Программное обеспечение
h2_09	ok	120	Форма · вопросы анкеты	web/calc.html	Рабочее место
h2_10	ok	168	Форма · вопросы анкеты	web/calc.html	Обучение и курсы
h2_11	ok	186	Форма · вопросы анкеты	web/calc.html	Создание сайта
h2_12	ok	206	Форма · вопросы анкеты	web/calc.html	Реклама и продвижение
h2_13	ok	216	Форма · вопросы анкеты	web/calc.html	Банковское обслуживание
h2_14	ok	238	Форма · вопросы анкеты	web/calc.html	Бухгалтерия и учёт
h2_14z	только_HTML			web/calc.html	
h2_15	только_книга	258	Форма · краткий результат		Куда уходит каждый час съёмки
h2_15z	только_HTML			web/calc.html	
h2_16	только_книга	309	Форма · размытое превью отчёта		Куда уходит каждый час
h2_16z	только_HTML			web/calc.html	
h2_17	только_книга	313	Форма · размытое превью отчёта		За какие роли вы это заработали
h2_18	только_книга	321	Форма · краткий результат		Что это значит
h2_19	только_книга	331	Форма · размытое превью отчёта		Ваша неделя
h2_19b	только_книга	322	Форма · размытое превью отчёта		Сетка цен по объёму
h2_rash	только_HTML			web/calc.html	
h2_rez	только_HTML			web/calc.html	
h2_time	только_HTML			web/calc.html	
h3_01	только_книга	262	Форма · подписка		Спасибо за поддержку!
h3_02	только_книга	263	Форма · блок оплаты (paywall)		Скачать детальный отчёт
Готовые цифры, которые можно применить уже завтра: что ставить в прайс, сколько съёмок брать и где проходит ваша нижняя граница.
hint_00t	только_HTML			web/calc.html	
hint_01	только_книга	48	Форма · вопросы анкеты		Ваш минимальный выезд. От него считается базовая ставка часа, а всё, что длиннее, — скидка за объём
hint_02	ok	80	Форма · вопросы анкеты	web/calc.html	Это набор вашего базового оборудования, без которого вы просто не сможете провести съёмку. Укажите текущую рыночную стоимость и срок, за который позицию придётся заменить.

Не включайте сюда специфическое оборудование, которое требуется под задачи конкретного заказчика. Его стоимость лучше сразу закладывать в смету как дополнительную аренду.
hint_03	ok	90	Форма · вопросы анкеты	web/calc.html	Это оборудование, которое помогает вам выполнять заказы и решать рабочие задачи за компьютером. Укажите его текущую рыночную стоимость и срок, через который планируете заменить.
hint_04	ok	122	Форма · вопросы анкеты	web/calc.html	В найме рабочее место предоставляет работодатель. Когда вы работаете на себя, вы создаёте и оплачиваете его самостоятельно — поэтому эти расходы тоже должны быть учтены в стоимости вашего часа.
hint_05	ok	170	Форма · вопросы анкеты	web/calc.html	Опишите, сколько времени и денег вы вложили, чтобы получить профессию
hint_06	только_книга	188	Форма · вопросы анкеты		
hint_07	ok	208	Форма · вопросы анкеты	web/calc.html	Деньги, которые вы регулярно тратите на поиск и привлечение клиентов
hint_08	только_книга	240	Форма · вопросы анкеты		
hint_08z	только_HTML			web/calc.html	
hint_09	только_книга	260	Форма · краткий результат		Вам платят за час на площадке, но эти деньги покрывают всю работу вокруг него
hint_09z	только_HTML			web/calc.html	
hint_10	только_книга	311	Форма · размытое превью отчёта		Сколько нужно брать, сколько берёте сейчас и минимум без убытка
hint_10z	только_HTML			web/calc.html	
hint_11	только_книга	315	Форма · размытое превью отчёта		Фотографом вы работаете меньше всего — основное время уходит на остальное
hint_12	только_книга	333	Форма · подсказки		Пять рабочих дней, с 10:00 до 19:00. Каждый квадрат — один час
hint_19b	только_книга	324	Форма · размытое превью отчёта		Чем длиннее съёмка, тем дешевле час — но не за счёт вашего дохода, а за счёт накладных
k_01	только_книга	254	Форма · краткий результат		за одну съёмку
k_02	только_книга	255	Форма · краткий результат		выручка в месяц
k_03	только_книга	256	Форма · краткий результат		съёмок в месяц
lb	только_книга	251	Форма		
lb_01	только_книга	252	Форма · краткий результат		Ваша расчётная ставка
lt_01	только_книга	307	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML: —
more_01	только_книга	496	Форма · блок оплаты (paywall)		Что ещё внутри
Полная раскладка часа.
nh_01	только_книга	285	Форма · блок оплаты (paywall)		Зачем мы это сделали
nh_02	только_книга	289	Форма · блок оплаты (paywall)		Что даёт ваша поддержка
note_01	только_книга	287	Форма · блок оплаты (paywall)		Мы сами работаем на себя и знаем, как это бывает: берёшь заказ, вроде бы неплохие деньги, а к концу месяца их нет. Потому что за кадром остались часы обработки, переписка, продвижение и техника, которая изнашивается. Этот калькулятор считает то, что обычно не считают, — и показывает честную цену вашего времени.
note_02	только_книга	291	Форма · блок оплаты (paywall)		Калькулятор бесплатный и таким останется. Каждая оплата для нас — сигнал, что он действительно нужен и мы делаем полезное дело. Она же защищает сервис от ботов и даёт возможность развивать его дальше: добавлять расчёты, форматы и профессии. Спасибо, что поддерживаете.
own_01	ok	128	Форма · вопросы анкеты	web/calc.html	Живу в своём, ипотеки нет
own_02	ok	347	Форма · подсказки	web/calc.html	Рекомендуем учитывать стоимость рабочего места в расчёте.

Иначе вы фактически субсидируете клиентов своими метрами, используя собственное жильё как рабочий ресурс для выполнения их задач.

Укажите актуальную стоимость аренды аналогичного жилья в вашем городе или размер ежемесячного ипотечного платежа.
pd_01	только_книга	265	Форма · блок оплаты (paywall)		Готовые цифры, которые можно применить уже завтра: что ставить в прайс, сколько съёмок брать и где проходит ваша нижняя граница.
ph_01	только_книга	293	Форма · опрос		Расскажите, что вам нужно ещё
ph_02	только_книга	294	Форма · опрос		Мы только начинаем и хотим делать то, что действительно пригодится. Отметьте сердечком, какое направление доработать в первую очередь — ваш совет решает.
pi_01	только_книга	296	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML: Калькулятор личного бюджета
pi_01d	только_книга	297	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML: сколько нужно зарабатывать, чтобы жить, а не выживать
pi_02	только_книга	298	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML: Прайс и счета прямо здесь
pi_02d	только_книга	299	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML: сформировать прайс-лист и выставить счёт клиенту
pi_03	только_книга	300	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML: Приложение на телефон
pi_03d	только_книга	301	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML: чтобы посчитать цену прямо на переговорах
pi_04	только_книга	302	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML: Своя идея
pi_04d	только_книга	303	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML: напишите, чего не хватает именно вам
pi_btn	только_книга	304	Форма · подписка		Отправить
pi_ok	только_книга	305	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML: —
pi_ph	только_книга	341	Форма · подписка		
pl_01	только_книга	267	Форма · блок оплаты (paywall)		Поблагодарить и скачать
q_01	только_книга	12	Форма · вопросы анкеты		Сколько вы хотите получать на руки каждый месяц?
q_02	ok	20	Форма · вопросы анкеты	web/calc.html	На каком режиме налогообложения вы работаете?
q_02b	ok	23	Форма · вопросы	web/calc.html	С кем вы чаще работаете?
q_03	только_книга	26	Форма · вопросы анкеты		Сколько вы берёте за час съёмки сейчас?
q_04	только_книга	50	Форма · вопросы анкеты		Какая у вас минимальная продолжительность съёмки?
q_04b	только_книга	493	Форма · вопросы анкеты		Сколько обработанных кадров вы отдаёте с одного часа съёмки?
q_05	только_книга	60	Форма · вопросы анкеты		Сколько часов вы тратите на обработку одного часа отснятого материала?
q_06	только_книга	66	Форма · вопросы анкеты		Сколько времени уходит на общение с клиентом по одному заказу?
q_07	только_книга	72	Форма · вопросы анкеты		Сколько часов в день вы тратите на продвижение?
q_08	ok	124	Форма · вопросы анкеты	web/calc.html	Сколько вы платите за жильё в месяц?
q_09	ok	132	Форма · вопросы анкеты	web/calc.html	Коммунальные платежи, интернет и связь
q_10	ok	138	Форма · вопросы анкеты	web/calc.html	Общая площадь вашего жилья
q_11	ok	142	Форма · вопросы анкеты	web/calc.html	Сколько метров выделено под вашу рабочую зону?
q_12	ok	148	Форма · вопросы анкеты	web/calc.html	Стоимость аренды помещения
q_13	ok	154	Форма · вопросы анкеты	web/calc.html	Коммунальные платежи, интернет и связь
q_14	ok	180	Форма · вопросы анкеты	web/calc.html	За сколько лет вы хотите окупить вложения в обучение?
q_15	ok	190	Форма · вопросы анкеты	web/calc.html	Сколько вы заплатили за создание сайта?
q_16	ok	194	Форма · вопросы анкеты	web/calc.html	Сколько времени вы потратили на создание сайта?
q_17	ok	200	Форма · вопросы анкеты	web/calc.html	За сколько лет окупить вложения в сайт?
q_18	только_книга	230	Форма · вопросы анкеты		Эквайринг
q_19	ok	234	Форма · вопросы анкеты	web/calc.html	Какая доля оплат проходит через эквайринг?
q_20	ok	242	Форма · вопросы анкеты	web/calc.html	Сколько часов в квартал уходит на отчётность?
q_21	ok	248	Форма · вопросы анкеты	web/calc.html	Сколько стоит ведение учёта?
qd_01	ok	14	Форма · вопросы анкеты	web/calc.html	Это сумма, которая остаётся вам после всех расходов и налогов. От неё считается всё остальное.
qd_02	ok	22	Форма · вопросы анкеты	web/calc.html	Выберите свой режим налогообложения или воспользуйтесь автоматическим подбором.
qd_02b	ok	24	Форма · вопросы	web/calc.html	Если работаете и с частными лицами, и с компаниями — НПД посчитаем по усреднённой ставке 5%.
qd_03	только_книга	28	Форма · вопросы анкеты		Нужно, чтобы показать разницу между вашей текущей и расчётной ставкой. Можно оставить пустым.
qd_04	ok	52	Форма · вопросы анкеты	web/calc.html	Укажите минимальное количество съёмочных часов, ради которых вы готовы выезжать на заказ.
qd_04b	ok	494	Форма · вопросы анкеты	web/calc.html	Укажите, сколько готовых кадров в среднем вы отдаёте за один час съёмки, после отбора и цветокоррекции.
qd_05	ok	56	Форма · вопросы анкеты	web/calc.html	Часть времени всегда уходит впустую: клиент перенёс, погода подвела, пришлось ехать повторно.
qd_05b	только_HTML			web/calc.html	
qd_06	ok	62	Форма · вопросы анкеты	web/calc.html	Укажите, сколько времени в среднем вы тратите на подготовку материала за 1 час съёмки. Учитывайте всё время — от начала выгрузки материала на компьютер до передачи готового результата клиенту.
qd_07	ok	68	Форма · вопросы анкеты	web/calc.html	Укажите, сколько времени в среднем вы тратите на общение с клиентом и организацию одного уже подтверждённого проекта.
qd_08	ok	74	Форма · вопросы анкеты	web/calc.html	Укажите, сколько времени в среднем вы тратите на поиск новых клиентов и продвижение своих услуг.
qd_09	ok	126	Форма · вопросы анкеты	web/calc.html	Аренда или ипотека.
qd_10	ok	134	Форма · вопросы анкеты	web/calc.html	Если вы работаете из дома, коммунальные платежи, интернет и связь учитываются пропорционально площади, которую занимает рабочая зона.
qd_11	только_книга	144	Форма · вопросы анкеты		
qd_12	ok	150	Форма · вопросы анкеты	web/calc.html	Студия, кабинет или место в коворкинге.
qd_13	ok	182	Форма · вопросы анкеты	web/calc.html	Стоимость обучения будет равномерно распределена на выбранный срок. Обычно для расчёта берут период от 5 до 10 лет.
qd_14	только_книга	192	Форма · вопросы анкеты		
qd_15	только_книга	196	Форма · вопросы анкеты		
qd_16	ok	202	Форма · вопросы анкеты	web/calc.html	Через этот срок сайт устареет и потребует переделки.
qd_18	только_книга	236	Форма · вопросы анкеты		
qd_19	только_книга	244	Форма · вопросы анкеты		Вот что мы заложили как основные этапы ведения учёта и бухгалтерии

1. Учёт доходов и расходов:
— фиксация доходов и расходов;
— ведение книги учёта;
— сверка операций с банковской выпиской.

2. Налоги и взносы:
— расчёт налогов;
— уплата налогов и страховых взносов;
— контроль сроков обязательных платежей.

3. Подготовка отчётности:
— подготовка и отправка деклараций;
— подготовка другой обязательной отчётности;
— контроль сроков сдачи.

4. Взаимодействие с налоговой:
— сверка с налоговой инспекцией;
— проверка начислений и задолженности;
