файл	класс	правил_CSS	в_разметке	в_JS	статус
calc	a	4	1	0	ok
calc	a1	2	1	0	ok
calc	a2	2	1	0	ok
calc	a3	2	1	0	ok
calc	abi	1	1	0	ok
calc	about	2	0	0	НЕиспользуется
calc	accounting-details	0	1	0	БЕЗ_стиля
calc	accounting-row	2	1	0	ok
calc	accounting-self-scope	0	1	0	БЕЗ_стиля
calc	accounting-stages	0	1	0	БЕЗ_стиля
calc	ad	5	0	0	НЕиспользуется
calc	add	3	1	0	ok
calc	add-rst-row	2	1	0	ok
calc	adv	3	0	0	НЕиспользуется
calc	after-field	1	0	0	НЕиспользуется
calc	ai	5	0	0	НЕиспользуется
calc	an	1	0	0	НЕиспользуется
calc	ask	2	0	1	ok
calc	auto-toggle-hint	3	1	0	ok
calc	autobtn	8	1	0	много_правил(8)
calc	autonote	2	1	0	ok
calc	ax	1	0	0	НЕиспользуется
calc	b	4	1	0	ok
calc	bank-acq-group	0	1	0	БЕЗ_стиля
calc	bank-add-row	1	1	0	ok
calc	bank-cell-placeholder	1	1	0	ok
calc	bank-commission-row	6	1	0	ok
calc	bank-commission-scope	0	1	0	БЕЗ_стиля
calc	bank-extra-list	1	1	0	ok
calc	bank-extra-name	0	0	1	БЕЗ_стиля
calc	bank-extra-name-field	2	0	1	ok
calc	bank-extra-rate	0	0	1	БЕЗ_стиля
calc	bank-extra-rate-field	2	0	1	ok
calc	bank-extra-row	6	0	0	НЕиспользуется
calc	bank-name-field	3	1	0	ok
calc	bank-rate-head	5	1	0	ok
calc	bank-rate-table	1	1	0	ok
calc	bank-share-label-field	3	1	0	ok
calc	bank-share-question	6	1	1	ok
calc	banner-benefits	0	1	0	БЕЗ_стиля
calc	bd	4	1	0	ok
calc	benefit	5	1	0	ok
calc	benefit-icon	2	1	0	ok
calc	benefit-icon-stop	2	1	0	ok
calc	benefit-text	1	1	0	ok
calc	benefit-title	3	1	0	ok
calc	benefits	2	1	0	ok
calc	benefits-grid	2	1	0	ok
calc	benefits-note	2	1	0	ok
calc	benefits-tail	2	1	0	ok
calc	bg	3	1	0	ok
calc	bgd	5	1	0	ok
calc	big	5	0	0	НЕиспользуется
calc	bigred	1	0	0	НЕиспользуется
calc	bn	5	1	1	ok
calc	brand	9	1	0	много_правил(9)
calc	bt	3	1	0	ok
calc	btn	19	1	0	много_правил(19)
calc	btns	1	0	0	НЕиспользуется
calc	btx	2	1	0	ok
calc	buy	4	0	0	НЕиспользуется
calc	bx	2	1	0	ok
calc	c	4	1	0	ok
calc	c1	0	0	1	БЕЗ_стиля
calc	c2	0	0	1	БЕЗ_стиля
calc	c3	0	0	1	БЕЗ_стиля
calc	cap	3	0	0	НЕиспользуется
calc	card	27	1	1	много_правил(27)
calc	card-foot	16	0	0	НЕиспользуется
calc	card-status	6	0	0	НЕиспользуется
calc	card-title-row	6	0	1	ok
calc	chg	3	0	0	НЕиспользуется
calc	chip	2	0	0	НЕиспользуется
calc	chips	1	0	0	НЕиспользуется
calc	circ	3	0	0	НЕиспользуется
calc	client-context-notice	1	1	0	ok
calc	client-default-note	1	1	0	ok
calc	client-details	0	1	0	БЕЗ_стиля
calc	client-exclude	0	1	0	БЕЗ_стиля
calc	client-stages	2	1	0	ok
calc	cn	18	1	0	много_правил(18)
calc	cnd	3	1	0	ok
calc	context-notice-title	3	1	0	ok
calc	core-inputs	5	1	0	ok
calc	cw	2	0	0	НЕиспользуется
calc	d1	1	1	0	ok
calc	d2	1	1	0	ok
calc	dc	3	0	0	НЕиспользуется
calc	deco	4	0	0	НЕиспользуется
calc	def	2	1	0	ok
calc	del	6	1	1	ok
calc	dl	3	0	0	НЕиспользуется
calc	dn	7	0	0	НЕиспользуется
calc	done	2	0	1	ok
calc	dot	1	0	0	НЕиспользуется
calc	dt	9	1	0	много_правил(9)
calc	early-foot	2	0	1	ok
calc	education-life-note	0	1	0	БЕЗ_стиля
calc	education-opportunity-note	1	1	0	ok
calc	equipment-cost-notice	1	1	0	ok
calc	equipment-market-note	5	1	0	ok
calc	equipment-notice	0	1	0	БЕЗ_стиля
calc	ex	2	0	0	НЕиспользуется
calc	exc	7	1	1	много_правил(7)
calc	expenses-banner	2	1	0	ok
calc	fbar	1	0	0	НЕиспользуется
calc	fbh	2	1	0	ok
calc	fbi	8	1	0	много_правил(8)
calc	fcop	1	1	0	ok
calc	fg	1	1	0	ok
calc	field-filled	2	0	1	ok
calc	field-row-removed	1	0	1	ok
calc	field-zero	2	0	1	ok
calc	flag	6	1	0	ok
calc	fnote	4	1	0	ok
calc	focus-field	1	1	0	ok
calc	foot	2	1	0	ok
calc	form-section	10	1	0	много_правил(10)
calc	form-section-expenses	12	1	0	много_правил(12)
calc	form-section-reserves	24	1	0	много_правил(24)
calc	form-section-time	13	1	0	много_правил(13)
