поле	обращений_в_отчёте	есть_в_DEMO	статус
frames	8	да	ok
NT	9	да	ok
idle	14	да	ok
pool	2	да	ok
sAuto	0	НЕТ	НЕ_ЧИТАЕТСЯ
equip	1	да	ok
promoM	1	да	ok
current	0	НЕТ	НЕ_ЧИТАЕТСЯ
side	0	НЕТ	НЕ_ЧИТАЕТСЯ
promo	8	да	ok
accT	8	да	ok
fmT	7	да	ok
S	9	да	ok
pt	2	да	ok
py	24	да	ok
sh	23	да	ok
post	7	да	ok
core	0	НЕТ	НЕ_ЧИТАЕТСЯ
clT	8	да	ok
amort	0	НЕТ	НЕ_ЧИТАЕТСЯ
vari	0	НЕТ	НЕ_ЧИТАЕТСЯ
C	0	НЕТ	НЕ_ЧИТАЕТСЯ
Ny	11	да	ok
R	26	да	ok
taxAll	5	да	ok
aq	5	да	ok
cur	0	НЕТ	НЕ_ЧИТАЕТСЯ
Rc	0	НЕТ	НЕ_ЧИТАЕТСЯ
leftC	0	НЕТ	НЕ_ЧИТАЕТСЯ
taxC	0	НЕТ	НЕ_ЧИТАЕТСЯ
aqC	0	НЕТ	НЕ_ЧИТАЕТСЯ
Rb	0	НЕТ	НЕ_ЧИТАЕТСЯ
taxB	0	НЕТ	НЕ_ЧИТАЕТСЯ
aqB	0	НЕТ	НЕ_ЧИТАЕТСЯ
wsY	0	НЕТ	НЕ_ЧИТАЕТСЯ
siteY	0	НЕТ	НЕ_ЧИТАЕТСЯ
eduY	0	НЕТ	НЕ_ЧИТАЕТСЯ
fundY	3	да	ok
discY	4	да	ok
fundP	0	НЕТ	НЕ_ЧИТАЕТСЯ
discP	1	НЕТ	ok
depShoot	5	да	ok
depOffice	5	да	ok
depSoft	5	да	ok
depEdu	4	да	ok
depSite	5	да	ok
depWs	4	да	ok
varAds	5	да	ok
varSoft	4	да	ok
varBank	4	да	ok
varRent	4	да	ok
varAcc	5	да	ok
NW	4	да	ok
K	2	да	ok
cl	1	да	ok
curRate	5	да	ok
regime	5	да	ok
regimeCode	4	НЕТ	ok
clients	1	НЕТ	ok
value	0	НЕТ	НЕ_ЧИТАЕТСЯ
profession	1	да	ok
