№	Страница	№ блока	Блок ID	Название блока	Тип элемента	DOM / параметр ID	Наименование поля или позиции	Сырое значение по умолчанию	Единица	Срок / период	Тип расчёта	Варианты	min	max	step	Условие / ветка	Группа состояния	Ветка / значение	Активно по умолчанию	Эффективное значение по умолчанию	Управляющий элемент	Форма / каталог	Источник	Расчётное значение за год по умолчанию	Эффективное числовое значение по умолчанию	Срок / период числом	Срок min	Срок max	Срок step	Роль управления	Правило эффективного значения
1	Веб/calc.html	01	CALC-B01	Ваш желаемый доход в месяц	text	income_month	Желаемый доход	110216	₽/мес				10000	3000000	100				да	110216			HTML: value / checked / selected		110216.0						
2	Веб/calc.html	02	CALC-B02	Ваш режим налогообложения	select	regime	Ваш режим налогообложения	npd				npd — Самозанятый (НПД) | usn6 — ИП, УСН «Доходы» — 6% | usn15 — ИП, УСН «Доходы минус расходы» — 15% | ausn8 — ИП, АУСН «Доходы» — 8% | ausn20 — ИП, АУСН «Доходы минус расходы» — 20%							да	npd			HTML: value / checked / selected								
3	Веб/calc.html	02	CALC-B02	Ваш режим налогообложения	select	npd_who	С кем вы чаще работаете?	mix				mix — С компаниями и частными лицами | phys — Только с частными лицами | jur — Только с компаниями и ИП				режим НПД	regime	CALC-B008-S01	да	mix	regime		HTML: value / checked / selected								
4	Веб/calc.html	02	CALC-B02	Ваш режим налогообложения	checkbox	tax_auto	Подбирать режим автоматически	нет											да	нет			HTML: value / checked / selected							service_checkbox	меняет поведение интерфейса; самостоятельного денежного или временного вклада нет
5	Веб/calc.html	02	CALC-B02	Ваш режим налогообложения	checkbox	tax_off	Не учитывать в расчёте	нет											да	нет			HTML: value / checked / selected							exclude_checkbox	снята — блок участвует; установлена — все эффективные результаты блока равны 0
6	Веб/calc.html	03	CALC-B03	Минимальный заказ	number	shoot_manual	Минимальный заказ	1	часов				0.5	72	0.5				да	1			HTML: value / checked / selected		1.0						
7	Веб/calc.html	04	CALC-B04	Ваша текущая ставка	text	current_rate	Ваша текущая ставка	6000	₽/час				0	1000000	100				да	6000			HTML: value / checked / selected		6000.0						
8	Веб/calc.html	05	CALC-B05	Ресурс съёмки	number	frames_out	Готовых кадров за один час	80	кадров/час				1	1000	10				да	80			HTML: value / checked / selected		80.0						
9	Веб/calc.html	05	CALC-B05	Ресурс съёмки	number	shutter_per_hour	Срабатываний затвора/час	350	кадров/час				1	1000	10				да	350			HTML: value / checked / selected		350.0						
10	Веб/calc.html	05	CALC-B05	Ресурс съёмки	number	shutter_life	Ресурс затвора вашей камеры	300000	срабатываний				10000	1000000	10000				да	300000			HTML: value / checked / selected		300000.0						
11	Веб/calc.html	06	CALC-B06	Время на постпродакшн	number	post_ratio	Время на постпродакшн	3	часа				0	72	0.5				да	3			HTML: value / checked / selected		3.0						
12	Веб/calc.html	07	c_FormClientTime	Проектная работа с клиентами	number	client_time	Проектная работа с клиентами	1	часа				0.5	72	0.5				да	1			HTML: value / checked / selected		1.0						
13	Веб/calc.html	08	c_FormPromoTime	Поиск заказов	number	promo_amt	Поиск заказов	2	часов				0.5	8	0.5				да	2			HTML: value / checked / selected		2.0						
14	Веб/calc.html	08	c_FormPromoTime	Поиск заказов	select	promo_per	Поиск заказов	day				day — В день | week — В неделю | month — В месяц							да	day			HTML: value / checked / selected								
15	Веб/calc.html	09	c_FormMgmt	Управление делом	number	mgmt_amt	Управление делом	2	часов				1	20	1				да	2			HTML: value / checked / selected		2.0						
16	Веб/calc.html	09	c_FormMgmt	Управление делом	select	mgmt_per	Управление делом	week				day — В день | week — В неделю | month — В месяц							да	week			HTML: value / checked / selected								
17	Веб/calc.html	09	c_FormMgmt	Управление делом	checkbox	EXC:FormMgmt	Не учитывать в расчёте	да											да	да			HTML: value / checked / selected							exclude_checkbox	снята — блок участвует; установлена — все эффективные результаты блока равны 0
18	Веб/calc.html	10	c_Form001	Съёмочное оборудование	checkbox	EXC:Form001	Не учитывать в расчёте	нет											да	нет			HTML: value / checked / selected							exclude_checkbox	снята — блок участвует; установлена — все эффективные результаты блока равны 0
19	Веб/calc.html	11	c_Form002	Офисное оборудование	checkbox	EXC:Form002	Не учитывать в расчёте	нет											да	нет			HTML: value / checked / selected							exclude_checkbox	снята — блок участвует; установлена — все эффективные результаты блока равны 0
20	Веб/calc.html	12	c_Form008b	Программное обеспечение	checkbox	EXC:Form008b	Не учитывать в расчёте	нет											да	нет			HTML: value / checked / selected							exclude_checkbox	снята — блок участвует; установлена — все эффективные результаты блока равны 0
21	Веб/calc.html	13	c_Form009b	Рабочее место	radio	ws_mode:home	Работаю из дома	да				home					ws_mode	home	да	да	ws_mode		HTML: value / checked / selected							branch_switch	выбранная ветка участвует; эффективные значения остальных веток равны 0
22	Веб/calc.html	13	c_Form009b	Рабочее место	radio	ws_mode:office	Арендую помещение	нет				office					ws_mode	office	нет	не участвует	ws_mode		HTML: value / checked / selected							branch_switch	выбранная ветка участвует; эффективные значения остальных веток равны 0
23	Веб/calc.html	13	c_Form009b	Рабочее место	text	home_rent	Стоимость аренды/ипотеки в месяц	40000	₽/мес				0	500000	100	рабочее место: дома	own_home	выключено, когда галочка включена	да	40000	own_home		HTML: value / checked / selected		40000.0						
24	Веб/calc.html	13	c_Form009b	Рабочее место	text	home_util	Коммунальные платежи, интернет и связь	7000	₽/мес				0	100000	100	рабочее место: дома	ws_mode	CALC-B018-S01	да	7000	ws_mode		HTML: value / checked / selected		7000.0						
25	Веб/calc.html	13	c_Form009b	Рабочее место	checkbox	own_home	Своё жильё, ипотеки нет	нет								рабочее место: дома	ws_mode	CALC-B018-S01	да	нет	ws_mode		HTML: value / checked / selected							context_switch	установлена — стоимость жилья равна 0; коммунальные расходы продолжают учитываться
26	Веб/calc.html	13	c_Form009b	Рабочее место	number	home_area	Общая площадь вашего жилья	50	м²				1	1000	0.1	рабочее место: дома	ws_mode	CALC-B018-S01	да	50	ws_mode		HTML: value / checked / selected		50.0						
27	Веб/calc.html	13	c_Form009b	Рабочее место	number	cab_area	Сколько метров выделено под рабочую зону	6	м²				0.1	100	0.1	рабочее место: дома	ws_mode	CALC-B018-S01	да	6	ws_mode		HTML: value / checked / selected		6.0						
28	Веб/calc.html	13	c_Form009b	Рабочее место	text	office_rent	Аренда помещения	15000	₽/мес				0	500000	100	рабочее место: отдельное помещение	ws_mode	CALC-B018-S02	нет	0	ws_mode		HTML: value / checked / selected								
29	Веб/calc.html	13	c_Form009b	Рабочее место	text	office_util	Коммунальные платежи, интернет и связь	7000	₽/мес				0	100000	100	рабочее место: отдельное помещение	ws_mode	CALC-B018-S02	нет	0	ws_mode		HTML: value / checked / selected								
30	Веб/calc.html	13	c_Form009b	Рабочее место	checkbox	EXC:Form009b	Не учитывать в расчёте	нет											да	нет			HTML: value / checked / selected							exclude_checkbox	снята — блок участвует; установлена — все эффективные результаты блока равны 0
31	Веб/calc.html	14	c_Form006	Обучение	number	edu_life	За сколько лет окупить вложения в обучение	7	лет				1	30	1				да	7			HTML: value / checked / selected		7.0						
32	Веб/calc.html	14	c_Form006	Обучение	checkbox	EXC:Form006	Не учитывать в расчёте	нет											да	нет			HTML: value / checked / selected							exclude_checkbox	снята — блок участвует; установлена — все эффективные результаты блока равны 0
33	Веб/calc.html	15	c_Form014	Создание сайта	radio	site_mode:hired	Нанимал (а) специалиста	да				hired					site_mode	hired	да	да	site_mode		HTML: value / checked / selected							branch_switch	выбранная ветка участвует; эффективные значения остальных веток равны 0
34	Веб/calc.html	15	c_Form014	Создание сайта	radio	site_mode:self	Делал (а) самостоятельно	нет				self					site_mode	self	нет	не участвует	site_mode		HTML: value / checked / selected							branch_switch	выбранная ветка участвует; эффективные значения остальных веток равны 0
35	Веб/calc.html	15	c_Form014	Создание сайта	text	site_cost	Сколько вы заплатили за создание сайта	70000	₽				0	1000000	100	сайт заказан у специалистов	site_mode	CALC-B020-S01	да	70000	site_mode		HTML: value / checked / selected		70000.0						
36	Веб/calc.html	15	c_Form014	Создание сайта	number	site_hours	Сколько времени вы потратили на создание сайта	80	ч				0	10000	1	сайт создан самостоятельно	site_mode	CALC-B020-S02	нет	0	site_mode		HTML: value / checked / selected								
37	Веб/calc.html	15	c_Form014	Создание сайта	number	site_life	За сколько лет окупить вложения в сайт	7	лет				1	10	1				да	7			HTML: value / checked / selected		7.0						
38	Веб/calc.html	15	c_Form014	Создание сайта	checkbox	EXC:Form014	Не учитывать в расчёте	нет											да	нет			HTML: value / checked / selected							exclude_checkbox	снята — блок участвует; установлена — все эффективные результаты блока равны 0
39	Веб/calc.html	16	c_Form010	Реклама и продвижение	checkbox	EXC:Form010	Не учитывать в расчёте	нет											да	нет			HTML: value / checked / selected							exclude_checkbox	снята — блок участвует; установлена — все эффективные результаты блока равны 0
40	Веб/calc.html	17	c_Form015b	Банковское обслуживание	text	acq_name	Банковское обслуживание	Эквайринг	%							строка эквайринга включена	BANK_ACQ_ON	CALC-B022-S01	да	Эквайринг	BANK_ACQ_ON		HTML: value / checked / selected								
41	Веб/calc.html	17	c_Form015b	Банковское обслуживание	number	acq_rate	Банковское обслуживание	2.7	%				0	10	0.1	строка эквайринга включена	BANK_ACQ_ON	CALC-B022-S01	да	2.7	BANK_ACQ_ON		HTML: value / checked / selected		2.7						
42	Веб/calc.html	17	c_Form015b	Банковское обслуживание	number	acq_share	Доля безналичных платежей	100	%				0	100	5	строка эквайринга включена	BANK_ACQ_ON	CALC-B022-S02	да	100	BANK_ACQ_ON		HTML: value / checked / selected		100.0						
43	Веб/calc.html	17	c_Form015b	Банковское обслуживание	checkbox	EXC:Form015b	Не учитывать в расчёте	нет											да	нет			HTML: value / checked / selected							exclude_checkbox	снята — блок участвует; установлена — все эффективные результаты блока равны 0
44	Веб/calc.html	18	c_Form011	Бухгалтерия и учёт	radio	acc_mode:self	Веду самостоятельно	да				self					acc_mode	self	да	да	acc_mode		HTML: value / checked / selected							branch_switch	выбранная ветка участвует; эффективные значения остальных веток равны 0
45	Веб/calc.html	18	c_Form011	Бухгалтерия и учёт	radio	acc_mode:hired	Нанимаю специалиста	нет				hired					acc_mode	hired	нет	не участвует	acc_mode		HTML: value / checked / selected							branch_switch	выбранная ветка участвует; эффективные значения остальных веток равны 0
46	Веб/calc.html	18	c_Form011	Бухгалтерия и учёт	number	acc_per_quarter	Сколько часов в квартал уходит на отчётность	3	ч				0	500	0.5	учёт ведётся самостоятельно	acc_mode	CALC-B023-S01	да	3	acc_mode		HTML: value / checked / selected		3.0						
47	Веб/calc.html	18	c_Form011	Бухгалтерия и учёт	text	acc_cost_month	Сколько стоит ведение учёта	10000	₽/мес				0	500000	100	учёт ведёт специалист	acc_mode	CALC-B023-S02	нет	0	acc_mode		HTML: value / checked / selected								
48	Веб/calc.html	18	c_Form011	Бухгалтерия и учёт	checkbox	EXC:Form011	Не учитывать в расчёте	нет											да	нет			HTML: value / checked / selected							exclude_checkbox	снята — блок участвует; установлена — все эффективные результаты блока равны 0
49	Веб/calc.html	19	c_Form018	Резерв времени на простой и форс-мажоры	checkbox	fm_on	Учитывать резерв времени на простой и форс-мажоры	нет											да	нет			HTML: value / checked / selected							include_checkbox	снята — эффективное значение 0; установлена — используется сохранённое сырое значение
50	Веб/calc.html	19	c_Form018	Резерв времени на простой и форс-мажоры	range	fm_pct	Резерв времени на простой и форс-мажоры	5	%				0	15	1		fm_on		нет	0	fm_on		HTML: value / checked / selected								
51	Веб/calc.html	20	c_Form017	Запас на скидку	checkbox	disc_on	Заложить запас на скидку	нет											да	нет			HTML: value / checked / selected							include_checkbox	снята — эффективное значение 0; установлена — используется сохранённое сырое значение
52	Веб/calc.html	20	c_Form017	Запас на скидку	radio	disc_lvl:5	5% скромно	нет				5				Резерв на программу лояльности включён	disc_lvl	5	нет	не участвует	disc_lvl		HTML: value / checked / selected							branch_switch	выбранная ветка участвует; эффективные значения остальных веток равны 0
53	Веб/calc.html	20	c_Form017	Запас на скидку	radio	disc_lvl:10	10% умеренно	нет				10				Резерв на программу лояльности включён	disc_lvl	10	нет	не участвует	disc_lvl		HTML: value / checked / selected							branch_switch	выбранная ветка участвует; эффективные значения остальных веток равны 0
54	Веб/calc.html	20	c_Form017	Запас на скидку	radio	disc_lvl:15	15% хорошо	да				15				Резерв на программу лояльности включён	disc_lvl	15	да	да	disc_lvl		HTML: value / checked / selected							branch_switch	выбранная ветка участвует; эффективные значения остальных веток равны 0
55	Веб/calc.html	20	c_Form017	Запас на скидку	hidden	disc_pct	Запас на скидку	15									disc_on		нет	0	disc_on		HTML: value / checked / selected								
56	Веб/calc.html	21	c_Form019	Буфер ликвидности	checkbox	cushion_on	Создать буфер ликвидности	нет											да	нет			HTML: value / checked / selected							checkbox_unclassified	
57	Веб/calc.html	21	c_Form019	Буфер ликвидности	range	cushion_pct	Буфер ликвидности	10					0	100	1				да	10			HTML: value / checked / selected		10.0						
58	Веб/calc.html	22	c_Form016	Прибыльность вашего дела	checkbox	fund_on	Возврат инвестиций / доля чистой прибыли	нет											да	нет			HTML: value / checked / selected							include_checkbox	снята — эффективное значение 0; установлена — используется сохранённое сырое значение
59	Веб/calc.html	22	c_Form016	Прибыльность вашего дела	range	fund_pct	Прибыльность вашего дела	18					0	100	1		fund_on		нет	0	fund_on		HTML: value / checked / selected								
60	Веб/calc.html	10	c_Form001	Съёмочное оборудование	catalog_item	Form001[1]	Canon EOS R6 Mark II Body	166999	₽	4 лет	life		0	10000000	100				да	166999		Form001	JavaScript CAT в calc.html	41749.75	166999.0	4.0	1	30	1		
61	Веб/calc.html	10	c_Form001	Съёмочное оборудование	catalog_item	Form001b[1]	Canon RF 24–105mm f/4.0 L IS USM	130999	₽	7 лет	life		0	10000000	100				да	130999		Form001b	JavaScript CAT в calc.html	18714.14285714286	130999.0	7.0	1	30	1		
62	Веб/calc.html	10	c_Form001	Съёмочное оборудование	catalog_item	Form001b[2]	Godox V1Pro C	36990	₽	5 лет	life		0	10000000	100				да	36990		Form001b	JavaScript CAT в calc.html	7398.0	36990.0	5.0	1	30	1		
63	Веб/calc.html	10	c_Form001	Съёмочное оборудование	catalog_item	Form001b[3]	Godox XPro II C	9355	₽	5 лет	life		0	10000000	100				да	9355		Form001b	JavaScript CAT в calc.html	1871.0	9355.0	5.0	1	30	1		
64	Веб/calc.html	10	c_Form001	Съёмочное оборудование	catalog_item	Form001b[4]	Аккумулятор LP-E6NH	12978	₽	5 лет	life		0	10000000	100				да	12978		Form001b	JavaScript CAT в calc.html	2595.6	12978.0	5.0	1	30	1		
65	Веб/calc.html	10	c_Form001	Съёмочное оборудование	catalog_item	Form001b[5]	SanDisk Extreme PRO 256 ГБ #1	6990	₽	2 лет	life		0	10000000	100				да	6990		Form001b	JavaScript CAT в calc.html	3495.0	6990.0	2.0	1	30	1		
66	Веб/calc.html	10	c_Form001	Съёмочное оборудование	catalog_item	Form001b[6]	SanDisk Extreme PRO 256 ГБ #2	6990	₽	2 лет	life		0	10000000	100				да	6990		Form001b	JavaScript CAT в calc.html	3495.0	6990.0	2.0	1	30	1		
67	Веб/calc.html	10	c_Form001	Съёмочное оборудование	catalog_item	Form001b[7]	Рюкзак Lowepro ProTactic	27962	₽	7 лет	life		0	10000000	100				да	27962		Form001b	JavaScript CAT в calc.html	3994.5714285714284	27962.0	7.0	1	30	1		
68	Веб/calc.html	10	c_Form001	Съёмочное оборудование	catalog_item	Form001b[8]	Godox RFT-05 отражатель	3000	₽	7 лет	life		0	10000000	100				да	3000		Form001b	JavaScript CAT в calc.html	428.57142857142856	3000.0	7.0	1	30	1		
69	Веб/calc.html	10	c_Form001	Съёмочное оборудование	catalog_item	Form001b[9]	X-Rite ColorChecker	5000	₽	7 лет	life		0	10000000	100				да	5000		Form001b	JavaScript CAT в calc.html	714.2857142857143	5000.0	7.0	1	30	1		
70	Веб/calc.html	11	c_Form002	Офисное оборудование	catalog_item	Form002[1]	Системный блок	180000	₽	5 лет	life		0	10000000	100				да	180000		Form002	JavaScript CAT в calc.html	36000.0	180000.0	5.0	1	30	1		
71	Веб/calc.html	11	c_Form002	Офисное оборудование	catalog_item	Form002[2]	Монитор ASUS ProArt	55000	₽	5 лет	life		0	10000000	100				да	55000		Form002	JavaScript CAT в calc.html	11000.0	55000.0	5.0	1	30	1		
72	Веб/calc.html	11	c_Form002	Офисное оборудование	catalog_item	Form002[3]	Calibrite ColorChecker	30000	₽	5 лет	life		0	10000000	100				да	30000		Form002	JavaScript CAT в calc.html	6000.0	30000.0	5.0	1	30	1		
73	Веб/calc.html	11	c_Form002	Офисное оборудование	catalog_item	Form002[4]	Колонки Logitech Z207	5000	₽	5 лет	life		0	10000000	100				да	5000		Form002	JavaScript CAT в calc.html	1000.0	5000.0	5.0	1	30	1		
74	Веб/calc.html	11	c_Form002	Офисное оборудование	catalog_item	Form002[5]	Клавиатура Logitech K380	3500	₽	7 лет	life		0	10000000	100				да	3500		Form002	JavaScript CAT в calc.html	500.0	3500.0	7.0	1	30	1		
75	Веб/calc.html	11	c_Form002	Офисное оборудование	catalog_item	Form002[6]	Мышь Logitech M650	4000	₽	3 лет	life		0	10000000	100				да	4000		Form002	JavaScript CAT в calc.html	1333.3333333333333	4000.0	3.0	1	30	1		
76	Веб/calc.html	11	c_Form002	Офисное оборудование	catalog_item	Form002[7]	Веб-камера Logitech Brio	15999	₽	5 лет	life		0	10000000	100				да	15999		Form002	JavaScript CAT в calc.html	3199.8	15999.0	5.0	1	30	1		
77	Веб/calc.html	11	c_Form002	Офисное оборудование	catalog_item	Form002[8]	Микрофон FIFINE K669B	3500	₽	5 лет	life		0	10000000	100				да	3500		Form002	JavaScript CAT в calc.html	700.0	3500.0	5.0	1	30	1		
78	Веб/calc.html	11	c_Form002	Офисное оборудование	catalog_item	Form002[9]	Принтер Canon PIXMA G640	29999	₽	5 лет	life		0	10000000	100				да	29999		Form002	JavaScript CAT в calc.html	5999.8	29999.0	5.0	1	30	1		
79	Веб/calc.html	12	c_Form008b	Программное обеспечение	catalog_item	Form003[1]	Adobe Creative Cloud Photography	2000	₽	12 платежей/год	per		0	100000	100				да	2000		Form003	JavaScript CAT в calc.html	24000.0	2000.0	12.0					
80	Веб/calc.html	12	c_Form008b	Программное обеспечение	catalog_item	Form003[2]	Яндекс Диск 1 ТБ	250	₽	12 платежей/год	per		0	100000	100				да	250		Form003	JavaScript CAT в calc.html	3000.0	250.0	12.0					
81	Веб/calc.html	12	c_Form008b	Программное обеспечение	catalog_item	Form004[1]	Retouch4me Heal	6900	₽	3 лет	life		0	100000	100				да	6900		Form004	JavaScript CAT в calc.html	2300.0	6900.0	3.0	1	10	1		
82	Веб/calc.html	12	c_Form008b	Программное обеспечение	catalog_item	Form004[2]	Retouch4me Dodge & Burn	6900	₽	3 лет	life		0	100000	100				да	6900		Form004	JavaScript CAT в calc.html	2300.0	6900.0	3.0	1	10	1		
83	Веб/calc.html	12	c_Form008b	Программное обеспечение	catalog_item	Form004[3]	Retouch4me Fabric	6900	₽	3 лет	life		0	100000	100				да	6900		Form004	JavaScript CAT в calc.html	2300.0	6900.0	3.0	1	10	1		
84	Веб/calc.html	12	c_Form008b	Программное обеспечение	catalog_item	Form004[4]	Retouch4me Clean Backdrop	6900	₽	3 лет	life		0	100000	100				да	6900		Form004	JavaScript CAT в calc.html	2300.0	6900.0	3.0	1	10	1		
85	Веб/calc.html	12	c_Form008b	Программное обеспечение	catalog_item	Form004[5]	Retouch4me Dust	6900	₽	3 лет	life		0	100000	100				да	6900		Form004	JavaScript CAT в calc.html	2300.0	6900.0	3.0	1	10	1		
86	Веб/calc.html	13	c_Form009b	Рабочее место	catalog_item	Form013[1]	Компьютерный стол	15000	₽	7 лет	life		0	500000	100				да	15000		Form013	JavaScript CAT в calc.html	2142.8571428571427	15000.0	7.0	1	30	1		
87	Веб/calc.html	13	c_Form009b	Рабочее место	catalog_item	Form013[2]	Стул	9000	₽	7 лет	life		0	500000	100				да	9000		Form013	JavaScript CAT в calc.html	1285.7142857142858	9000.0	7.0	1	30	1		
88	Веб/calc.html	13	c_Form009b	Рабочее место	catalog_item	Form013[3]	Стеллаж для хранения	12000	₽	7 лет	life		0	500000	100				да	12000		Form013	JavaScript CAT в calc.html	1714.2857142857142	12000.0	7.0	1	30	1		
89	Веб/calc.html	13	c_Form009b	Рабочее место	catalog_item	Form013[4]	Шторы	6000	₽	7 лет	life		0	500000	100				да	6000		Form013	JavaScript CAT в calc.html	857.1428571428571	6000.0	7.0	1	30	1		
90	Веб/calc.html	13	c_Form009b	Рабочее место	catalog_item	Form013[5]	Жалюзи	5000	₽	7 лет	life		0	500000	100				да	5000		Form013	JavaScript CAT в calc.html	714.2857142857143	5000.0	7.0	1	30	1		
