01 · ГЛОССАРИЙ — единый реестр понятий, параметров и обозначений;;;;;;;;;;;
Собирается вместе с модель/глоссарий.html одним скриптом модель/глоссарий.py. Источник — этот лист. Столбцы «Решение» и «Справочник» временные.;;;;;;;;;;;
;;;;;;;;;;;
A · МАРКЕРЫ ТИПОВ;;;;;;;;;;;
№;Наименование;Статус (временный);Справочник · для сверки (временный);ID;Тип;Определение;Определение утверждено;Описание алгоритма;Формула (пример расчёта);Где используется;Решение (временный)
1;Константа;не сверяется;;const;meta;Заранее установленное значение, которое используется в расчётах и не изменяется в зависимости от введённых пользователем данных.;согласовано;;247 дня, 57 390 ₽;внутренний;
2;Значение по умолчанию;не сверяется;;default;meta;Заранее установленное значение параметра, которое используется автоматически, если пользователь не указал другое значение.;согласовано;;доход 108 999 ₽;внутренний;
3;Формула;не сверяется;;calc;meta;Расчётное выражение, по которому калькулятор на основе введённых пользователем данных и установленных констант определяет значение параметра.;согласовано;;net_time-side_time;внутренний;
4;Переключатель;не сверяется;;switch;meta;Параметр с выбором из нескольких вариантов, который меняет не только значение, но и сам ход расчёта.;черновик;;«Работаю из дома» / «Арендую»;внутренний;
5;Служебное понятие;не сверяется;;meta;meta;Обозначение, описывающее устройство самой книги, а не деятельность специалиста.;черновик;;block, form, section;внутренний;
6;Тип поля интерфейса;не сверяется;;ui;meta;Обозначение способа, которым пользователь вводит или получает значение параметра.;черновик;;input_number, dropdown;внутренний;
;;;;;;;;;;;
A1 · Служебные понятия — Из чего собраны книга, анкета и отчёт.;;;;;;;;;;;
№;Наименование;Статус (временный);Справочник · для сверки (временный);ID;Тип;Определение;Определение утверждено;Описание алгоритма;Формула (пример расчёта);Где используется;Решение (временный)
7;Раздел;не сверяется;;Section1 … Section6;служебное;Крупная часть анкеты, объединяющая несколько блоков.;черновик;;07_Интерфейс, 08_UI;внутренний;
8;Блок;не сверяется;;Block1 … Block18;служебное;Смысловая часть анкеты: один вопрос или группа связанных вопросов с общим заголовком.;черновик;;07_Интерфейс, 08_UI;внутренний;
9;Форма;не сверяется;;Form001 … Form016;служебное;Набор однотипных строк, которые пользователь заполняет списком.;черновик;;03_Каталоги, 07_Интерфейс;внутренний;
10;Параметр;не сверяется;;income_month и другие ID;служебное;Отдельная величина книги со своим постоянным обозначением, по которому на неё ссылаются формулы.;черновик;;02_Параметры;внутренний;
11;Каталог;не сверяется;;cat_form, cat_year;служебное;Список позиций формы вместе с ценой, сроком службы, периодом платежа и годовой суммой.;черновик;;03_Каталоги;внутренний;
12;Тип расхода;не сверяется;;амортизация · регулярный платёж;служебное;Признак позиции каталога: разовая покупка, разложенная по сроку службы, или платёж, повторяющийся каждый период.;черновик;;03_Каталоги;внутренний;
13;Период платежа;не сверяется;;Год · Квартал · Месяц;служебное;Как часто вносится регулярный платёж. Задаёт множитель платежей в год: 1, 4 или 12.;черновик;;03_Каталоги;внутренний;
14;Лист книги;не сверяется;;00 … 28;служебное;Отдельная страница книги с номером и назначением в названии.;черновик;;вся книга;внутренний;
15;id в вёрстке;не сверяется;;hRate, dn1, lg1;служебное;Обозначение элемента на странице, по которому скрипт подставляет в него рассчитанное значение.;черновик;;08c_Структура_отчёта;внутренний;
;;;;;;;;;;;
A5 · Типы полей анкеты — Как пользователь вводит значение.;;;;;;;;;;;
№;Наименование;Статус (временный);Справочник · для сверки (временный);ID;Тип;Определение;Определение утверждено;Описание алгоритма;Формула (пример расчёта);Где используется;Решение (временный)
16;input_number;не сверяется;;поле ввода;служебное;Поле для ввода числа.;черновик;;доход, ставка, коэффициент;внутренний;
17;input_extended;не сверяется;;поле с настройкой;служебное;Поле для ввода числа с дополнительной настройкой рядом.;черновик;;Block10;внутренний;
18;dropdown;не сверяется;;select;служебное;Выпадающий список с выбором одного варианта.;черновик;;налоговый режим, учёт;внутренний;
19;radio;не сверяется;;переключатель;служебное;Выбор одного варианта из нескольких, все видны сразу.;черновик;;создание сайта;внутренний;
20;checkbox;не сверяется;;галочка;служебное;Включает или выключает блок либо строку расчёта.;черновик;;«Не учитывать этот блок»;внутренний;
21;dynamic_table;не сверяется;;таблица;служебное;Таблица, в которую пользователь сам добавляет и удаляет строки.;черновик;;оборудование, ПО;внутренний;
22;dynamic_tables;не сверяется;;две таблицы;служебное;Две такие таблицы в одном блоке.;черновик;;Block8;внутренний;
23;table_head;не сверяется;;шапка таблицы;служебное;Названия столбцов таблицы.;черновик;;—;внутренний;
24;table_row;не сверяется;;строка таблицы;служебное;Одна строка, заполняемая пользователем.;черновик;;39 строк в 08_UI;внутренний;
25;button_add;не сверяется;;кнопка;служебное;Кнопка «Добавить позицию» под таблицей.;черновик;;—;внутренний;
26;calc_row;не сверяется;;строка итога;служебное;Строка с рассчитанным значением, пользователь её не заполняет.;черновик;;«Итого амортизация»;внутренний;
27;calc_field;не сверяется;;поле вывода;служебное;Отдельное поле с рассчитанным значением внутри блока.;черновик;;—;внутренний;
28;subhead;не сверяется;;подзаголовок;служебное;Подзаголовок внутри блока.;черновик;;—;внутренний;
29;info_block;не сверяется;;текстовый блок;служебное;Пояснительный текст без полей ввода.;черновик;;«Как мы считаем»;внутренний;
30;2 parts;не сверяется;;две части;служебное;Блок из двух частей: время и деньги.;черновик;;Block11, Block15;внутренний;
31;report;не сверяется;;вывод;служебное;Блок вывода результата в конце анкеты.;черновик;;Block16 … Block18;внутренний;
;;;;;;;;;;;
A6 · Типы блоков отчёта — Из чего собран отчёт.;;;;;;;;;;;
№;Наименование;Статус (временный);Справочник · для сверки (временный);ID;Тип;Определение;Определение утверждено;Описание алгоритма;Формула (пример расчёта);Где используется;Решение (временный)
32;header;не сверяется;;шапка;служебное;Заголовок, подзаголовок, дата расчёта.;черновик;;rMeta;внутренний;
33;hero;не сверяется;;главная плашка;служебное;Крупная цифра ставки часа на зелёном фоне.;черновик;;hRate;внутренний;
34;report_row;не сверяется;;строка показателей;служебное;Три показателя в строку под главной плашкой.;черновик;;—;внутренний;
35;chart_donut;не сверяется;;кольцевая диаграмма;служебное;Кольцо с сегментами и легендой.;черновик;;dn1, lg1;внутренний;
36;compare_box;не сверяется;;сравнение;служебное;Две величины рядом для сравнения.;черновик;;—;внутренний;
37;cond;не сверяется;;условия труда;служебное;Пять условий по Трудовому кодексу.;черновик;;condGrid;внутренний;
38;trust;не сверяется;;доверие;служебное;Доводы, почему расчёту можно верить.;черновик;;—;внутренний;
39;paywall;не сверяется;;блок оплаты;служебное;Иконка, заголовок, цена, кнопки.;черновик;;—;внутренний;
40;button;не сверяется;;кнопка;служебное;Печать, скачивание, «поделиться».;черновик;;dlpdf;внутренний;
41;table;не сверяется;;таблица детализации;служебное;Восемь таблиц с полной выкладкой расчёта.;черновик;;спрдет;внутренний;
;;;;;;;;;;;
B · ВРЕМЯ — иерархия по вашему определению (ГЛАВНОЕ);;;;;;;;;;;
№;Наименование;Статус (временный);Справочник · для сверки (временный);ID;Тип;Определение;Определение утверждено;Описание алгоритма;Формула (пример расчёта);Где используется;Решение (временный)
42;Рабочее время;тождественно;Рабочее время — Время, в течение которого специалист выполняет профессиональные обязанности, включая непосредственную работу, подготовку, организационные задачи и другие действия, связанные с выполнением работы.;work_time;calc;Время, в течение которого специалист выполняет профессиональные обязанности, включая непосредственную работу, подготовку, организационные задачи и другие действия, связанные с выполнением работы.;согласовано;;247 × 8 = 1 976 ч/год;общий;
43;ЧИСТОЕ время;переименовать;Эффективное рабочее время — Часть рабочего времени, фактически используемая для выполнения профессиональных задач, за исключением времени на отдых, кратковременные личные перерывы и другие непроизводительные отвлечения, не связанные непосредственно с выполнением работы.;net_time;calc;Часть рабочего времени, фактически используемая для выполнения профессиональных задач, за исключением времени на отдых, кратковременные личные перерывы и другие непроизводительные отвлечения, не связанные непосредственно с выполнением работы.;согласовано;;(247−20−8) × 7 = 1 533 ч/год;общий;Удалить. Остаётся «Эффективное рабочее время».
44;ОПЕРАЦИОННОЕ время;тождественно;Операционное время — Время, затрачиваемое специалистом на выполнение рабочих задач, не связанных непосредственно с оказанием услуги или созданием результата для клиента, но необходимых для организации и ведения профессиональной деятельности. Включает продвижение и рекламу, поиск заказов, работу с клиентами, бухгалтерию и учёт, планирование, организационные и административные задачи.;side_time;calc;Время, затрачиваемое специалистом на выполнение рабочих задач, не связанных непосредственно с оказанием услуги или созданием результата для клиента, но необходимых для организации и ведения профессиональной деятельности. Включает продвижение и рекламу, поиск заказов, работу с клиентами, бухгалтерию и учёт, планирование, организационные и административные задачи.;согласовано;Складываем часы на все задачи, которые не создают результат для клиента напрямую: продвижение и поиск заказов, работа с клиентом, бухгалтерия и учёт, планирование и организационные дела.;438 + 12 = 450 ч/год;общий;Определение утверждено, внесено в справочник.
45;Время на заказы до резерва;не сверяется;;pool_gross;calc;Чистое минус операционное. Промежуточная величина перед вычетом резерва;черновик;;1 533 − 450 = 1 083 ч/год;внутренний;На утверждении: формулировка описывает время ПОСЛЕ вычета резерва, а параметр считается ДО. Уточнить.
46;Резерв на форс-мажоры;переименовать;Резерв времени на форс-мажоры — Дополнительное время, закладываемое в рабочий график на непредвиденные обстоятельства, задержки, технические сбои и другие ситуации, которые могут увеличить продолжительность выполнения работы.;fm_time;calc;Перенос и отмена съёмок, срывы по вине клиента, повторные выезды. Процент от времени на заказы;черновик;;5% × 1 083 = 54,15 ч/год;общий;
47;ПРОЕКТНОЕ время за год;тождественно;Проектное время — Общее время, необходимое специалисту для выполнения всех работ в рамках съёмочного проекта, включая подготовку, проведение съёмки, обработку материала и передачу готового результата.;project_pool;calc;Общее время, необходимое специалисту для выполнения всех работ в рамках съёмочного проекта, включая подготовку, проведение съёмки, обработку материала и передачу готового результата.;согласовано;;1 083 − 54,15 = 1 028,85 ч/год;общий;Объединить: одно понятие «Проектное время», без периодов.
48;Проектное время на 1 проект;тождественно;Проектное время — Общее время, необходимое специалисту для выполнения всех работ в рамках съёмочного проекта, включая подготовку, проведение съёмки, обработку материала и передачу готового результата.;project_time;calc;Общее время, необходимое специалисту для выполнения всех работ в рамках съёмочного проекта, включая подготовку, проведение съёмки, обработку материала и передачу готового результата.;согласовано;;6×4 + 1 = 25 ч/проект;общий;Объединить: одно понятие «Проектное время», без периодов.
49;ПРОФИЛЬНОЕ время;не сверяется;;core_time;calc;Работа по профилю: съёмка и обработка ВМЕСТЕ. Равно S × (1+коэф.). БЕЗ клиента;черновик;;262,80 + 788,40 = 1 051,20 ч/год;внутренний;
50;СЪЁМОЧНОЕ время (S);переименовать;Съёмочный час — Единица рабочего времени, в течение которой специалист непосредственно выполняет съёмочные работы в рамках одного заказа или проекта.;shooting_time;calc;Работа на площадке. Обозначается S. ЦЕЛЬ РАСЧЁТА и знаменатель ставки;черновик;;43,80 × 6 = 262,80 ч/год;общий;
51;Постпродакшн;тождественно;Постпродакшн — Комплекс работ с отснятым материалом после завершения съёмки, направленных на его обработку, доработку и подготовку к передаче или публикации.;post_time;calc;Комплекс работ с отснятым материалом после завершения съёмки, направленных на его обработку, доработку и подготовку к передаче или публикации.;согласовано;;262,80 × 3 = 788,40 ч/год;общий;
52;Работа с клиентом;переименовать;Проектная работа с клиентами — Рабочие действия специалиста, связанные с взаимодействием с клиентом в рамках конкретного проекта: обсуждение задачи, согласование условий и деталей работы, подготовка к проекту, коммуникация в процессе его выполнения, согласование результата и завершение проекта.;client_total;calc;Продажа, согласования, организация. 1 час НА КАЖДЫЙ проект: чем короче съёмки, тем больше проектов и тем больше суммарных клиентских часов;черновик;;проектов × 1 ч;общий;Разделено на два понятия: операционная и проектная работа с клиентами. Здесь остаётся проектная.
53;Продвижение;тождественно;Продвижение — Комплекс действий, направленных на привлечение внимания к специалисту, его услугам или продуктам, увеличение числа потенциальных клиентов и стимулирование продаж.;promo_time;calc;Комплекс действий, направленных на привлечение внимания к специалисту, его услугам или продуктам, увеличение числа потенциальных клиентов и стимулирование продаж.;согласовано;;2 × 219 = 438 ч/год;общий;
54;Учёт и планирование;тождественно;Учёт — Систематический сбор, фиксация и анализ информации о доходах, расходах, работе и других показателях профессиональной деятельности.;accounting_time;calc;Систематический сбор, фиксация и анализ информации о доходах, расходах, работе и других показателях профессиональной деятельности.;согласовано;;3 × 4 = 12 ч/год;общий;
55;Коэффициент обработки;переименовать;"Первичная обработка — Комплекс действий с отснятым фотоматериалом, выполняемых специалистом с использованием специализированных компьютерных программ для подготовки материала к дальнейшему использованию. Включает подготовку материала: создание и организацию папок и файлов, выгрузку материала с карт памяти, резервное копирование; отбор материала: просмотр отснятого материала, удаление технического брака, отбор удачных кадров, исключение дублей, кадров с закрытыми глазами и явно неудачных кадров; базовую цветокоррекцию: коррекцию экспозиции, баланса белого, контраста, светлых и тёмных областей, резкости и насыщенности, приведение всей серии к единому цвету и свету; коррекцию кадра: кадрирование, выравнивание горизонта, коррекцию перспективы и искажений объектива, удаление крупных лишних объектов из кадра; подготовку и передачу результата: импорт и экспорт из программы обработки, подготовку файлов, изменение размера и формата при необходимости. Ретушь в первичную обработку не входит.";post_ratio;default;Часов обработки на 1 час съёмки. По умолчанию 3, пользователь меняет под свой жанр;черновик;;3 (свадьба больше, репортаж меньше);общий;
56;Резерв на форс-мажоры;переименовать;Резерв времени на форс-мажоры — Дополнительное время, закладываемое в рабочий график на непредвиденные обстоятельства, задержки, технические сбои и другие ситуации, которые могут увеличить продолжительность выполнения работы.;fm_on;switch;Включён по умолчанию, 5%. Поле процента редактируется пользователем;черновик;;Заложить / Не закладывать;общий;
57;Множитель профильного;не сверяется;;profile_multiplier;calc;1 + коэффициент обработки. Во столько раз профильное время больше съёмочного;черновик;;1 + 3 = 4;внутренний;
58;Проектов в год;не сверяется;;projects_year;calc;Сколько проектов помещается в проектное время;черновик;;1 095 / 25 = 43,80 = число недель;внутренний;Деление по периодам не заводим — один параметр.
;;;;;;;;;;;
C · ПРОВЕРКА ИЕРАРХИИ — три равенства, которые всегда верны;;;;;;;;;;;
№;Наименование;Статус (временный);Справочник · для сверки (временный);ID;Тип;Определение;Определение утверждено;Описание алгоритма;Формула (пример расчёта);Где используется;Решение (временный)
59;Первый уровень;не сверяется;;—;meta;ОПЕРАЦИОННОЕ + РЕЗЕРВ + ПРОЕКТНОЕ = ЧИСТОЕ;черновик;;450 + 54,15 + 1 028,85 = 1 533 ✓;внутренний;
60;Второй уровень;не сверяется;;—;meta;ПРОФИЛЬНОЕ + работа с клиентом = ПРОЕКТНОЕ;черновик;;985,05 + 43,80 = 1 028,85 ✓;внутренний;
61;Третий уровень;не сверяется;;—;meta;СЪЁМОЧНОЕ + постпродакшн = ПРОФИЛЬНОЕ;черновик;;246,26 + 738,79 = 985,05 ✓;внутренний;
;;;;;;;;;;;
D · ПЕРЕКЛЮЧАТЕЛИ — шесть точек выбора пользователя;;;;;;;;;;;
№;Наименование;Статус (временный);Справочник · для сверки (временный);ID;Тип;Определение;Определение утверждено;Описание алгоритма;Формула (пример расчёта);Где используется;Решение (временный)
62;Режим налогообложения;переименовать;Налоговый режим — Установленный законодательством порядок исчисления и уплаты налогов и обязательных платежей, применяемый специалистом в зависимости от выбранной системы налогообложения.;regime;switch;Семь вариантов. По умолчанию НПД средняя 5%;черновик;;Form015 · Block4;общий;
63;Час проектного времени;переименовать;Стоимость клиентского часа — Стоимость одного часа работы специалиста для клиента. Считается так: выручка за год делится на проектное время — часы, которые остаются на выполнение заказов после вычета поиска клиентов, учёта и резерва на форс-мажоры. Нужна, чтобы самостоятельно назначать цену на услуги вне съёмки: консультации, организацию съёмки, подбор команды. Такой час выполняется вместо заказа, поэтому и стоить должен как час заказа, иначе работа выполняется в убыток.;hour_pool;calc;Выручка / проектное время. ПОСТОЯННАЯ величина: база для сетки объёмных скидок;черновик;;2 138 693 / 1 028,85 = 2 079 ₽;общий;
64;Рабочее место;тождественно;Рабочее место — Организованное пространство специалиста, оснащённое необходимым оборудованием, инструментами и материалами для выполнения конкретных профессиональных задач.;ws_mode;switch;Организованное пространство специалиста, оснащённое необходимым оборудованием, инструментами и материалами для выполнения конкретных профессиональных задач.;согласовано;;Form005 · Block9;общий;
65;Живу в своём;нет понятия;;own_home;switch;Если жильё своё и ипотеки нет — плата за жильё обнуляется, коммуналка остаётся;черновик;;Form005 · Block9;общий;
66;Учёт и планирование;тождественно;Учёт — Систематический сбор, фиксация и анализ информации о доходах, расходах, работе и других показателях профессиональной деятельности.;acc_mode;switch;Систематический сбор, фиксация и анализ информации о доходах, расходах, работе и других показателях профессиональной деятельности.;согласовано;;Form011 · Block14;общий;
67;Создание сайта;переименовать;Сайт — Интернет-ресурс, предназначенный для представления специалиста, его услуг и портфолио, информирования потенциальных клиентов, привлечения обращений и получения заказов.;site_mode;switch;Нанимал — цена подрядчика. Делал сам — часы × полная ставка рабочего часа;черновик;;Form014 · Block12;общий;
68;Период платежа;не сверяется;;—;switch;Год / Квартал / Месяц. Множитель платежей в год: 1 / 4 / 12;черновик;;03_Каталоги, столбец «Период»;внутренний;
;;;;;;;;;;;
E · ДЕНЬГИ;;;;;;;;;;;
№;Наименование;Статус (временный);Справочник · для сверки (временный);ID;Тип;Определение;Определение утверждено;Описание алгоритма;Формула (пример расчёта);Где используется;Решение (временный)
69;Желаемый доход;тождественно;Желаемый доход — Сумма денежных средств, которую специалист планирует получать за свою профессиональную деятельность после покрытия всех расходов, налогов и обязательных платежей.;target_income;calc;Сумма денежных средств, которую специалист планирует получать за свою профессиональную деятельность после покрытия всех расходов, налогов и обязательных платежей.;согласовано;;108 999 × 12 = 1 307 988 ₽;общий;
70;Выручка;тождественно;Выручка — Общая сумма денежных средств, которую специалист получил или должен получить от продажи работ или услуг за определённый период, до вычета расходов, налогов и других затрат.;revenue;calc;Общая сумма денежных средств, которую специалист получил или должен получить от продажи работ или услуг за определённый период, до вычета расходов, налогов и других затрат.;согласовано;;04_Расчёт, строка 4;общий;
71;Всего расходов;нет понятия;;total_costs;calc;Амортизация плюс переменные. Без эквайринга;черновик;;C = 786 026 ₽/год;общий;
72;Амортизация;тождественно;Амортизация — Постепенное включение стоимости имущества в расходы бизнеса по мере его использования и износа.;investment;calc;Постепенное включение стоимости имущества в расходы бизнеса по мере его использования и износа.;согласовано;;308 126 ₽/год;общий;
